Jan. 31, 2003	1240.72
Dec. 31, 2002	1229.40
Nov. 30, 2002	1216.34
Oct. 31, 2002	1192.01
Sept. 30, 2002	1180.61
Aug. 31, 2002	1167.54
July 31, 2002	1159.56
June 30, 2002	1154.31
May 31, 2002	1137.17
April 30, 2002	1117.85
March 31, 2002	1103.92
Feb. 28, 2002	1093.26
Jan. 31, 2002	1070.13
Dec. 31, 2001	1058.93
Nov. 30, 2001	1049.08
Oct. 31, 2001	1041.51
Sept. 30, 2001	1024.29
Aug. 31, 2001	1014.52
July 31, 2001	1016.89
June 30, 2001	1004.22
May 31, 2001	985.67
April 30, 2001	968.74
March 31, 2001	955.51
Feb. 28, 2001	946.75
Jan. 31, 2001	933.89
